comp_ref,Compound,smiles,HOMO,HOMO_1,HOMO_2,HOMO_3,LUMO,Dipole,Polar,Egap,IP,EA,Electronegativity,Chemical hardness,Electrophilicity,deltaN,cLogP,cLogS,Total Surface Area,Polar Surface Area,Relative PSA,ConcInh_M,TempK,Time_H,Med_ConcM,Med_ID,Method,IE
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.000001,298,1,1,HCl,EFM,64.94
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.00001,298,1,1,HCl,EFM,69.15
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.0001,298,1,1,HCl,EFM,74.78
comp_1,"2-[(6-ethyl-4-hydroxy-2,5-dioxo-5,6-dihydro-2 H -pyrano [3,2- c ]quinolin-3-yl)methylidene] hydrazinecarbodithioic acid",CCn3c(=O)c1c(C)c(/C=N/NC(=S)S)c(=O)oc1c2ccccc23,-6.239026638,-6.320932911,-6.680939551,-7.225983618,-3.067811685,13.055,503.49,3.171214953,6.185178026,3.257484571,4.721331299,1.463846727,3.806916533,-0.151198411,1.8914,-4.621,270.97,141.89,0.4178,0.001,298,1,1,HCl,EFM,90.3
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.000001,303,8,1,HCl,PDP,83.4
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.00001,303,8,1,HCl,PDP,88.3
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.0001,303,8,1,HCl,PDP,90.7
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.001,303,8,1,HCl,PDP,93.9
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.000001,303,8,1,HCl,EIS,86.5
comp_2,5-(((4-(dimethylamino)benzylidene)amino)methyl)quinolin-8-ol,CN(C)c3ccc(/C=N/Cc1ccc(O)c2ncccc12)cc3,-5.4373792,-6.035485469,-7.078497904,-7.230881667,-1.936634359,8.1359,394.92,3.500744841,5.278530311,2.103641848,3.691086079,1.587444232,2.145605523,0.509569977,3.0041,-3.765,246.07,48.72,0.15902,0.00001,303,8,1,HCl,EIS,88.2
